Release after,Players
0,240872
1,289952
2,318440
3,334684
4,320909
5,316020
6,317607
7,298697
8,291192
9,308606
10,307985
11,273255
12,263038
13,249687
14,262726
15,266711
16,279116
17,276164
18,246957
19,236542
20,226487
21,219524
22,219034
23,231448
24,229337
25,205412
26,193102
27,184411
28,212901
29,203540
30,213778
31,204645
32,176369
33,170452
34,162885
35,157923
36,161502
37,166982
38,160239
39,135011
40,129060
41,124025
42,119436
43,132048
44,128598
45,125912
46,105539
47,105906
48,101263
49,98332
50,100650
51,107440
52,104046
53,87237
54,84363
55,82697
56,80762
57,122588
58,120506
59,114646
60,101778
61,95751
62,88576
63,85054
64,89992
65,93228
66,82251
67,73954
68,71358
69,67006
70,68342
71,75560
72,74404
73,68385
74,59415
75,57197
76,54715
77,52809
78,54611
79,56892
80,53145
81,46400
82,44894
83,51300
84,52334
85,122565
86,107612
87,95955
88,79920
89,73063
90,64726
91,60277
92,59263
93,61493
94,54562
95,47688
96,46535
97,45110
98,43282
99,60365
100,57294
101,51704
102,43652
103,40884
104,41220
105,70379
106,64115
107,65946
108,63057
109,55090
110,53860
111,53302
112,51687
113,79051
114,76826
115,71226
116,60492
117,57846
118,54307
119,53858
120,54965
121,59585
122,56848
123,49599
124,52550
125,50475
126,49539
127,64385
128,63955
129,61070
130,52696
131,47654
132,45516
133,45489
134,93807
135,88027
136,83449
137,77168
138,72039
139,74830
140,73653
141,74903
142,76141
143,75200
144,65359
145,68428
146,68731
147,68812
148,97343
149,95520
150,86085
151,74593
152,70744
153,67649
154,67288
155,63220
156,68826
157,65988
158,54237
159,52914
160,51325
161,50992
162,62100
163,65447
164,63217
165,51343
166,52921
167,54341
168,52630
169,53559
170,94397
171,89874
172,75045
173,67345
174,65191
175,60648
176,59440
177,62572
178,61721
179,45109
180,47566
181,48389
182,48333
183,54136
184,60941
185,62495
186,54202
187,53445
188,51505
189,47471
190,48886
191,52745
192,52206
193,46119
194,44199
195,43668
196,44053
197,45293
198,46045
199,42261
200,36574
201,35072
202,34224
203,34021
204,36315
205,38457
206,35912
207,31351
208,31307
209,30741
210,30306
211,35740
212,37516
213,34115
214,28926
215,28116
216,27912
217,27499
218,36936
219,38254
220,35174
221,29754
222,28964
223,27808
224,28220
225,33718
226,32913
227,29390
228,24018
229,23847
230,23499
231,23229
232,23865
233,25640
234,24194
235,20380
236,20399
237,20337
238,25121
239,37056
240,36674
241,38070
242,33757
243,34417
244,32781
245,32409
246,34915
247,37362
248,35114
249,30674
250,30065
251,28619
252,29139
253,51707
254,48689
255,43383
256,41037
257,35768
258,32665
259,32800
260,49794
261,51871
262,51942
263,45792
264,46130
265,46198
266,41039
267,45899
268,48400
269,49323
270,41555
271,40384
272,40852
273,52616
274,54453
275,59550
276,57132
277,47823
278,48033
279,47078
280,46700
281,52765
282,52482
283,47390
284,37826
285,36307
286,34312
287,32411
288,34483
289,37732
290,35454
291,31133
292,30487
293,30526
294,34023
295,39419
296,41438
297,39985
298,34377
299,33729
300,36256
301,36724
302,44992
303,45036
304,42960
305,38863
306,34851
307,33920
308,33184
309,34594
310,37913
311,36210
312,31047
313,29982
314,29965
315,31366
316,36438
317,39574
318,38389
319,32601
320,32650
321,41827
322,47269
323,51308
324,58116
325,59400
326,60198
327,61740
328,62860
329,64361
330,68446
331,72684
332,72353
333,68556
334,70776
335,68905
336,68367
337,72677
338,74119
339,73941
340,67556
341,66160
342,63641
343,63353
344,65645
345,68872
346,66311
347,61835
348,59349
349,57922
350,58440
351,91108
352,89350
353,85691
354,79987
355,75733
356,72636
357,69724
358,71241
359,72860
360,70863
361,65103
362,63041
363,60333
364,61533
365,62661
366,67588
367,70782
368,67683
369,69370
370,69115
371,68513
372,67765
373,69855
374,68633
375,62744
376,60925
377,62042
378,61097
379,65063
380,70454
381,69449
382,64053
383,60278
384,61301
385,59297
386,51713
387,53849
388,51570
389,47257
390,46424
391,45896
392,45811
393,53664
394,61823
395,62162
396,56060
397,57542
398,58242
399,62302
400,67639
401,78848
402,83542
403,80173
404,82129
405,82813
406,85069
407,93183
408,98197
409,94776
410,83840
411,81430
412,77767
413,76444
414,91009
415,89972
416,87100
417,76348
418,70227
419,66972
420,67785
421,63813
422,67284
423,66643
424,57328
425,58670
426,57492
427,57005
428,62485
429,65806
430,61629
431,54635
432,51093
433,50116
434,49753
435,74824
436,74611
437,69642
438,61468
439,58741
440,54954
441,52861
442,55080
443,62871
444,62713
445,60696
446,57367
447,59258
448,60716
449,60377
450,59648
451,55798
452,52981
453,51549
454,50467
455,48754
456,51610
457,54451
458,43046
459,43390
460,42012
461,41303
462,40245
463,42783
464,44546
465,41777
466,37291
467,35736
468,35209
469,34502
470,39437
471,41376
472,39608
473,35293
474,34247
475,35756
476,37946
477,58004
478,61093
479,60566
480,56260
481,57304
482,55414
483,55188
484,64934
485,67802
486,63152
487,56638
488,55381
489,51106
490,47113
491,51623
492,56421
493,53841
494,48122
495,46816
496,44748
497,43957
498,50208
499,55668
500,58863
501,58515
502,57765
503,58485
504,61686
505,66691
506,69697
507,69511
508,68685
509,64922
510,67925
511,70810
512,71218
513,72595
514,69423
515,63854
516,62381
517,63606
518,101350
519,232598
520,274114
521,284524
522,250113
523,241828
524,233438
525,215939
526,219524
527,237784
528,237494
529,202450
530,194057
531,185431
532,178578
533,185441
534,217164
535,227398
536,206565
537,209476
538,207812
539,204878
540,206373
541,224116
542,225235
543,197388
544,191504
545,190134
546,222799
547,212030
548,221567
549,218278
550,188946
551,181501
552,174021
553,180705
554,169802
555,187052
556,188261
557,168889
558,161456
559,154258
560,145633
561,152605
562,161200
563,158404
564,141340
565,135773
566,131086
567,126145
568,166220
569,164297
570,155780
571,137520
572,132257
573,128078
574,123298
575,125266
576,132794
577,127974
578,112697
579,111745
580,107483
581,149477
582,134799
583,131574
584,123044
585,108458
586,104371
587,102006
588,103372
589,219730
590,205296
591,189899
592,166259
593,154125
594,144309
595,138000
596,142219
597,146795
598,140038
599,126334